DUID,Owner,Number of Units,Nameplate Capacity (MW)
BOCOROC2,South Pacific Power Pty Ltd,15.0,79.5
BODWF1,Bodangora Wind Farm Pty Ltd,33.0,113.19
,RES Australia Pty Ltd,1.0,530
,Photon Energy,1.0,9.8
MCKAY1,AGL Hydro Partnership,2.0,140
MCKAY1,AGL Hydro Partnership,6.0,160.02
,Hanwha Energy Australia Pty Ltd,65.0,260
BOLIVPS1,Iberdrola Australia Energy Markets Pty Limited,4.0,128.4
BOLIVAR1,South Australian Water Corporation,3.0,7.5
BOWWBA1,South Australian Water Corporation,1.0,3.08
BOWWPV1,South Australian Water Corporation,3.0,8.25
BOMENSF1,Spark Infrastructure Holdings No. 6 Pty Limited,44.0,121
,Barathrum Energy Pty Ltd,1.0,70
,GAIA Australia Pty Ltd,1.0,100
,Bookaar Renewables Pty ltd ,1.0,230
,Boomer Green Energy Hub Pty Ltd (a subsidiary of the Ark Energy Group),152.0,1185.6
,ARK Energy Corporation Pty Ltd,1.0,800
,Venn Energy Pty Ltd,41.0,180.4
,Queensland Hydro,6.0,1998
,Boulder Creek Wind Farm Pty Ltd as trustee for BCWF Unit Trust ABN and BCWF 2 Pty Limited ,38.0,221.01
BBATTERY1,Genex Power Limited,40.0,50
,Genex Power Limited,40.0,50
,Bouldercombe North BESS Pty Ltd,1.0,400
,The Trustee for X-ELIO BOULKA PARK TRUST,1.0,250
,The Trustee for X-ELIO BOULKA PARK TRUST,1.0,100
,Bowen Basin Sun Farm Pty Ltd,1.0,130
, Blue Hydro Project Pty Ltd,1.0,750
,ARK Energy Corporation Pty Ltd,56.0,346.64
,TE H2 Australia,58.0,199.52
,TE H2 Australia,144.0,500.11
BRAEMAR1,Braemar Power Project Pty Ltd,1.0,188
BRAEMAR2,Braemar Power Project Pty Ltd,1.0,188
BRAEMAR3,Braemar Power Project Pty Ltd,1.0,188
BRAEMAR5,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,1.0,173
BRAEMAR6,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,1.0,173
BRAEMAR7,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,1.0,173
,Libra Energy Pty Ltd,1.0,212
,Libra Energy Pty Ltd,1.0,212
,Libra Energy Pty Ltd,1.0,212
,Libra Energy Pty Ltd,1.0,212
,Brendale Battery ProjectCo Pty Lt,112.0,204.96
,Photon Energy,1.0,Zero Capacity Or None Specified
,ACEN Renewables,1.0,300
,CSE H2 Pty Ltd,1.0,400
,Brinkworth Solar Farm Pty Ltd,58.0,249.98
,Broadsound Solar Farm Pty Ltd,92.0,368
,Broadsound Solar Farm Pty Ltd,100.0,240
BWTR1,Cape Byron Management PTY LTD,1.0,38
,BSR EPC Pty Limited,1.0,173
BHB1,MACQGEN,1.0,50
GB01,Transgrid,1.0,50
BROKENH1,PARF Company 6 Pty Limited,40.0,53
BROOKLYN,EDL LFG Vic Pty Ltd,1.0,2.83
BROWNMT,Cochrane Dam Pty Ltd,1.0,5
BPLANDF1,EDL LFG (Qld) Pty Ltd,1.0,1.03
BPLANDF1,EDL LFG (Qld) Pty Ltd,1.0,1.15
BULBES1,Bulgana Wind Farm Pty Ltd,40.0,20
BULGANA1,Bulgana Wind Farm Pty Ltd,56.0,204.4
,Bullawah Wind Farm Pty Ltd,55.0,313.5
,Genex Power Limited,1.0,400
,Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust,1.0,450
,Genex Power Limited,135.0,675
,Genex Power Limited,205.0,1025
,Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust,1.0,450
,EE Solar 9 Pty Ltd as trustee for the EE Solar 9 Trust,1.0,97
,Bundaberg Renewable Energy Park,1.0,500
,Bundaberg Development Pty Ltd,1.0,78
,Genaspi Energy Group Pty Ltd,1.0,300
,Genaspi Energy Group Pty Ltd,1.0,300
,Genaspi Energy Group Pty Ltd,1.0,600
,Genaspi Energy Group Pty Ltd,1.0,475
,Syn-Co Global,1.0,250
,SynCo Global,1.0,250
, Windlab Developments Pty Ltd,175.0,1400
BNGSF1,Bungala One Operations Pty Ltd as trustee for the Bungala One Operations Trust,54.0,135
BNGSF2,Bungala Two Operations Pty Ltd as trustee for the Bungala Two Operations Trust,54.0,135
,Bungama Bess Trust,1.0,200
,Bungama Project (Solar) Operations Pty Ltd,1.0,150
,Bungama Project (Solar) Operations Pty Ltd,74.0,280.02
,Pacific Hydro,1.0,296
,Pacific Hydro,1.0,7
,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,139.0,500.4
,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,1.0,3.6
,Burgmanns BESS Pty Ltd,1.0,200
,BESS Clyde North Pty Ltd,1.0,300
,Iberdrola Australia Development Pty Limited,1.0,360
BDONGHYD,AGL Hydro Partnership,1.0,19
,ARK Energy Corporation Pty Ltd,70.0,434
BURRIN,GSP Energy Pty Ltd,1.0,20
BURRIN,GSP Energy Pty Ltd,2.0,14
,SynCo Global,71.0,300.33
BUTLERSG,Hydro-Electric Corporation,1.0,2.2
BUTLERSG,Hydro-Electric Corporation,1.0,12.2
,EquisEquis Energy (Australia) Projects (Ngumi 4) Pty Ltd,1.0,150
,EquisEquis Energy (Australia) Projects (Ngumi 4) Pty Ltd,1.0,150
CALL_B_1,CS Energy,1.0,350
CALL_B_2,CS Energy,1.0,350
CPP_3,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd. ,1.0,424
CPP_4,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd. ,1.0,420
,CSE BESS P/L,1.0,200
,CSE H2 Pty Ltd,1.0,750
,Edify Energy Pty Ltd,1.0,200
,Edify Energy Pty Ltd,1.0,210
,DP Green Energy Pty Limited,68.0,421.6
,ekuenergy_nr,1.0,300
,Lightsource BP,1.0,500
,Lightsource BP,1.0,500
,4067 Pyramid Development Pty Ltd,1.0,205
,Camperdown BESS Pty Ltd,1.0,75
CNUNDAWF,Canunda Power Pty Ltd,23.0,46
,X-Elio Australia Pty Ltd,1.0,300
,NeuGen Technology P/L,1.0,1995
,Capital Wind Farm 2 Pty Ltd,32.0,70.40 - 134.40
CAPBES1,Capital Battery Pty Ltd,33.0,100.32
CESF1,IBERDROLA AUSTRALIA HOLDINGS PTY LIMITED,4.0,2
CAPTL_WF,Renewable Power Ventures Pty Ltd,67.0,140.7
,ENEL Green Power Australia,160.0,704
,Eungella PHES Pty Ltd ATF Eungella PHES Trust,1.0,750
,vestas_NR,35.0,217
,Enerparc Australia Pty Ltd,4.0,16
,Georgetown Hills Renewable Energy Pty Ltd as trustee for the Georgetown Hills Renewable Energy Trust,128.0,118.02
,Georgetown Hills Renewable Energy Pty Ltd as trustee for the Georgetown Hills Renewable Energy Trust,42.0,247
,Canadian Solar,1.0,30
,Canadian Solar (Australia) Pty Ltd,1.0,150
,Canadian Solar (Australia) Pty Ltd,1.0,150
LI_WY_CA,Hydro-Electric Corporation,1.0,24
LI_WY_CA,Hydro-Electric Corporation,1.0,27
LI_WY_CA,Hydro-Electric Corporation,1.0,31.5
LI_WY_CA,Hydro-Electric Corporation,2.0,55.8
LI_WY_CA,Hydro-Electric Corporation,3.0,38.4
CATHROCK,JV Cathedral Rock Investments Pty Ltd  - Acciona Energy Australia Global Pty Ltd and EnergyAustralia Pty Ltd,31.0,62
,RWE Renewables Australia Pty Ltd,1.0,200
,RWE Renewables Australia Pty Ltd,140.0,798
CTHLWF1,Wild Cattle Hill Pty Ltd,45.0,144
,Tetris Energy,1.0,25
,Tetris Energy,1.0,200
,Tetris Energy,1.0,400
,Macleay Ventures Pty Ltd.,57.0,399
, ATCO Australia Pumped Hydro Pty Ltd,1.0,325
CETHANA,Hydro-Electric Corporation,1.0,85
