DUID,Owner,Number of Units,Nameplate Capacity (MW)
GORDON,Hydro-Electric Corporation,3.0,432
,Goulburn River Fund Pty Ltd,56.0,49.84
,Goulburn River Fund Pty Ltd,140.0,588
,Valent Energy,1.0,225
,Neoen Australia Pty Ltd,1.0,300
,Neoen Australia,50.0,1.00 - 300.00
GSWF1A,Goyder Wind Farm 1A Pty Ltd as trustee for Goyder Wind Farm 1A Trust,38.0,209
GSWF1B1,Goyder Wind Farm 1B Pty Ltd as trustee for Goyder Wind Farm 1B Trust,37.0,203.5
,AE BESS 3 Pty Ltd as Trustee for AE BESS 3 Unit Trust,1.0,100
GRANGEAV,EDL LFG NSW Pty Ltd,1.0,1.26
,Akuo Energy,121.0,121
GRANWF1,Granville Harbour Operations Pty Ltd as trustee for Granville Harbour Operations Trust,31.0,111.6
,GIG Australian Offshore Wind Energy Holdings Pty Ltd,1.0,2508
,Neoen Australia Pty Ltd,1.0,100
,Neoen Australia Pty Ltd,1.0,500
, Greater Southern Offshore Wind Farm Project Co Pty Ltd,1.0,1500
,Solquartz Holdings Pty Ltd,1.0,750
GREENB1,CSE BESS Pty Ltd,1.0,200
,Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust,135.0,360.45
,Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust,46.0,160.08
,Gregadoo Solar Farm Pty Ltd,1.0,45
,Eku Energy Projects (Australia) Trust,1.0,100
GRIFSF1,Griffith Solar Farm Pty Ltd,12.0,27.19
GROSV1,EDL Projects Australia Pty Ltd,7.0,21
GROSV2,EDL Projects Australia Pty Ltd,1.0,15.21
,ARK Energy Corporation Pty Ltd,73.0,525.6
,goldwindaustralia_NR,1.0,500
GULLRSF1,New Gullen Range Wind Farm Pty Ltd,4.0,10
GULLRWF1,New Gullen Range Wind Farm Pty Ltd,17.0,25.5
GULLRWF1,New Gullen Range Wind Farm Pty Ltd,56.0,140
GULLRWF2,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,31.0,110.67
, Lightsource Development Services Australia Pty Ltd,1.0,200
, Lightsource Development Services Australia Pty Ltd,4.0,400
, Gunnedah Battery Subco Pty Ltd,1.0,70
,Green Leap P/L,25.0,100
GNNDHSF1,Gunnedah SF Pty Ltd atf Gunnedah Asset Trust,1.0,110
, Canadian Solar,1.0,200
, Canadian Solar,70.0,238.00 - 294.00
GUNNING1,Gunning Wind Energy Developments,11.0,16.5
GUNNING1,Gunning Wind Energy Developments,20.0,30
,ARP,1.0,94
,365 Future Energy,1.0,1186
GUTHEGA,Snowy Hydro Ltd,2.0,60
HALAMRD1,LMS Energy Pty Ltd,8.0,8.98
NBHWF1,Brown Hill North Pty Ltd,63.0,132.3
BLUFF1,Eurus Energy,25.0,52.5
,EnergyAustralia Hallett Pty Ltd,1.0,50
AGLHAL,EnergyAustralia Hallett Pty Ltd,1.0,18
AGLHAL,EnergyAustralia Hallett Pty Ltd,1.0,21.76
AGLHAL,EnergyAustralia Hallett Pty Ltd,1.0,25.6
AGLHAL,EnergyAustralia Hallett Pty Ltd,1.0,27
AGLHAL,EnergyAustralia Hallett Pty Ltd,1.0,37.2
AGLHAL,EnergyAustralia Hallett Pty Ltd,2.0,37.8
AGLHAL,EnergyAustralia Hallett Pty Ltd,2.0,41.5
AGLHAL,EnergyAustralia Hallett Pty Ltd,4.0,68
HALLWF1,Palisade Investment Partner Limited,45.0,94.5
HALLWF2,Infrastructure Capital Group Limited,34.0,71.4
,IBERDROLA AUSTRALIA DEVELOPMENT PTY LIMITED,1.0,500
,Halys BESS ProjectCo Pty Ltd,224.0,1120
,X-Elio Australia Pty Ltd,1.0,300
,Elements Green Australia Pty Ltd,1.0,750
,Elements Green Australia Pty Ltd,1.0,750
, UGL Pty Ltd,1.0,150
HAMISF1,Hamilton Solar Farm Pty Ltd,23.0,57.5
,Enervest Operations Pty Ltd,456.0,1199.28
HVWWBA1,South Australian Water Corporation,1.0,5.52
HVWWPV1,South Australian Water Corporation,4.0,11
,Harlin Solar Pty Ltd,1.0,240
,Harlin Solar Pty Ltd,1.0,400
,Mainstream,111.0,799.2
,Enel Green Power Australia Pty Ltd,86.0,266.60 - 269.95
,Esso Australia Resources,1.0,14.33
,Esso Australia Resources,2.0,28.66
,Pacific Hydro Haughton Solar Farm Pty Ltd,1.0,200
HAUGHT11,Pacific Hydro Haughton Solar Farm Pty Ltd,81.0,132.6
,Pacific Hydro Australia Pty Ltd,1.0,300
, Vena Energy Services (Australia) Pty Ltd,1.0,400
HD1WF1,Hawkesdale Asset Pty Ltd as trustee for Hawkesdale Asset Trust,23.0,96.6
,Plains SF No1 Pty Ltd,1.0,110
HAYMSF1,The Hayman Solar Farm Trust,21.0,57.75
,Enervest Pty Ltd,1.0,1100
HBESS1,Hazelwood BESS Project Co Pty Ltd as trustee for the HBESS Asset Trust,1.0,200.07
,International Power (Australia) Pty Ltd,1.0,150
,International Power (Australia) Pty Ltd (trading as ENGIE),1.0,40
,Manthos Investments Pty Ltd,1.0,480
,ARK Energy Corporation Pty Ltd,25.0,155
,Acciona Energy Global Australia,132.0,752.4
,Wind Prospect WA Pty Ltd,109.0,763
,Hills of Gold Wind Farm Pty Ltd,1.0,400
HILLSTN1,Hillston Sun Farm Operations Pty Ltd ATF Hillston,40.0,110
,Gravitas,1.0,11
,Goldwind Australia,54.0,421.2
,SynCo Global,71.0,300.33
,Bushranger Project Pty Ltd.,156.0,561.6
,Zen Energy Future Pty Ltd,1.0,200
,Zen Energy Future Pty Ltd,1.0,100
,Pacific Partnerships,96.0,230.4
,Hopeland Solar Farm Pty Ltd as trustee for the Hopeland Solar Farm Trust,78.0,327.6
HPR1,Hornsdale Power Reserve Pty Ltd,1.0,50
HPR1,Hornsdale Power Reserve Pty Ltd,1.0,100
HDWF1,HWF 1 Pty Ltd,32.0,102.4
HDWF2,HWF 2 Pty Ltd,32.0,102.4
HDWF3,HWF 3 Pty Ltd,35.0,112
,ESCO Solar Farm 7 Trust,40.0,100
,ESCO SOLAR FARM 7 PTY LTD,36.0,118.8
HUGSF1,Hughenden Solar Pty Ltd as Trustee for Hughenden Solar Trust,18.0,20.97
,BayWA r.e Projects Australia Pty Ltd,1.0,200.00 - 320.00
,GSP Energy Pty Ltd,1.0,10
,The Trustee for the ARIF Hume BESS Holdings Trust,1.0,75
HUMENSW,GSPOWER,1.0,29
HUMEV,GSP Energy Pty Ltd,1.0,29
,Energy Estate,1.0,1400
HEZ1,Snowy Hydro Ltd,1.0,20.8
HUNTER1,Snowy Hydro Limited,1.0,375
HUNTER2,Snowy Hydro Limited,1.0,375
HLMSEW01,South East Water Corporation,1.0,0.25
,brightnightpower_NR,82.0,359.98
,brightnightpower_NR,28.0,173.6
,brightnightpower_NR,40.0,175.6
,OceanEx Energy,1.0,2000
,Enerparc Australia Pty Ltd,6.0,24
,Inverell BESS Development Pty Ltd,40.0,150
,TBA,1.0,22
,Inverleigh Wind Farm Pty Ltd,15.0,88.95 - 91.50
INVICTA,Haughton Sugar Company Pty Limited,1.0,2.5
INVICTA,Haughton Sugar Company Pty Limited,1.0,9
INVICTA,Haughton Sugar Company Pty Limited,1.0,38.8
ICSM,SUSTAINABLE ENERGY INFRASTRUCTURE ,1.0,25
,Ivanhoe Coal Pty Ltd,900.0,702
JACKSGUL,EDL LFG NSW Pty Ltd,2.0,2.3
,Equis Energy (Australia) Projects (Ngumi 6) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 6 Asset Trust,1.0,200
JLA01,EnergyAustralia Ecogen Py Ltd,1.0,53
JLA02,EnergyAustralia Ecogen Py Ltd,1.0,53
JLA03,EnergyAustralia Ecogen Py Ltd,1.0,53
JLA04,EnergyAustralia Ecogen Py Ltd,1.0,53
JLB01,EnergyAustralia Ecogen Pty Ltd,1.0,76
JLB02,EnergyAustralia Ecogen Pty Ltd,1.0,76
JLB03,EnergyAustralia Ecogen Pty Ltd,1.0,76
JEMALNG1,Genex Power,20.0,55
,Squadron Energy Services Pty Ltd,48.0,288
JNDABNE1,Snowy Hydro Ltd,1.0,1.1
,BESS Atlantic,1.0,250
,Jindera Solar Farm Pty Ltd,38.0,120.08
,ACEnergy Pty Ltd,1.0,296.7
JBUTTERS,Hydro-Electric Corporation,1.0,144
JOUNAMA1,Snowy Hydro Ltd,1.0,14.4
JRBATT1,Junction Rivers Pty Ltd,1.0,200
JRWF1,Junction Rivers Pty Ltd,96.0,595.2
JUNEESF1,Junee Operationsco Pty Ltd as trustee for Junee Operations Trust,22.0,36.01
,Tilt Renewables Australia Pty Ltd,1.0,200
,Tilt Renewables Australia Pty Ltd,42.0,299.88
KABANWF1,Kaban Wind Farm Trust,28.0,156.8
,Samsung C&T Renewable Energy Australia Pty Ltd,33.0,138.6
,Origin Energy Pty Ltd,1.0,30
,Origin Energy Pty Ltd,25.0,150.00 - 155.00
,FIrm Power P/L,1.0,364.8
KARSF1,Iraak Sun Farm Pty Ltd,38.0,104.5
,ACCIONA Energy,1.0,400
KAREEYA1,CleanCo Queensland Limited,1.0,21.6
KAREEYA2,CleanCo Queensland Limited,1.0,21.6
KAREEYA3,CleanCo Queensland Limited,1.0,21.6
KAREEYA4,CleanCo Queensland Limited,1.0,21.6
KAREEYA5,CleanCo Queensland Limited,1.0,7
,Kariboe Wind Farm Pty Ltd,170.0,1020
,NEMMCOCI Karma Pty Ltd as trustee for the CI Karma Trust,1.0,966
KEEPIT,GSP Energy Pty Ltd,1.0,7.2
,Tetris Energy,1.0,50
,BayWa r.e. Solar Project Pty Ltd,1.0,50
,Tetris Energy,1.0,50
KEPSF1,Windlab / Eurus,6.0,15
KEPBG1,Windlab/Eurus,4.0,2
KEPWF1,Windlab / Eurus,12.0,43.2
,Neoen Australia Pty Ltd,1.0,5.00 - 600.00
,Kerang Bess Pty Ltd,56.0,103.04
,Kerang Power Pty Ltd,1.0,2.62
,Kerang Power Pty Ltd,1.0,3.31
,Origin Energy,2.0,770
, RES Australia Pty Ltd,55.0,330
KIAMBE,TotalEnergies Renewables Australia,64.0,238.59
KIAMSF1,KSF Project Nominees Pty Ltd ATF KSF Project Trust,150.0,199.95
KIATAWF1,Kiata ProjectCo Pty Ltd atf Kiata Project Trust,9.0,31.05
,Genex Power Ltd,2.0,250
KSP1,Genex Power Limited,20.0,50
,Genex Power Limited,1.0,270
,Genex Power Limited,1.0,258
,KIEWA VALLEY BESS NOMINEES PTY LTD on behalf of KIEWA VALLEY BESS Trust        ,1.0,500
,acepower_NR,1.0,4.2
KINGASF1,Kingaroy PropertyCo Pty Ltd as trustee for Kingaroy Property Trust,9.0,40
,Lyon Solar,120.0,Zero Capacity Or None Specified
,Lyon Solar,1.0,100
,Enerfin Energy Services Pty Ltd.,89.0,399.61
,Iberdrola Australia Development Pty Ltd.,1.0,250
,ESCO Pacific,1.0,55
KPP_1,Kogan Creek Power Station Pty Ltd,1.0,744
,Equis Energy (Australia) Projects (Ngumi 6) Pty Ltd as trustee for the Equis Energy (Australia) Ngumi 6 Asset Trust,1.0,100
,Equis Energy (Australia) Projects (Ngumi 6) Pty Ltd as trustee for the Equis Energy (Australia) Ngumi 6 Asset Trust,1.0,100
,Squadron Energy Developments Pty Ltd,1.0,300
KESSB1,Edify Energy,1.0,185
,FERA Australia Pty Ltd,50.0,200.00 - 400.00
,CEP Energy,1.0,1200
,Kut-Wut Brataualung Pty Ltd as trustee for the Kut-Wut Brataualung Trust,147.0,2205
LADBROK1,Origin Energy Power Limited,1.0,40
LADBROK2,Origin Energy Power Limited,1.0,40
LKBONNY1,Lake Bonney Wind Power Pty Ltd,46.0,80.5
LKBONNY2,Lake Bonney Wind Power Pty Ltd,53.0,159
LKBONNY3,Lake Bonney Wind Power Pty Ltd,13.0,39
LBB1,Lake Bonney BESS Pty Limited ,1.0,25
LK_ECHO,Hydro-Electric Corporation,1.0,32.4
,EnergyAustralia NSW Pty Ltd,1.0,385
,Lake Victoria Wind Farm Pty Ltd atf Lake Victoria Wind Farm unit trust,1.0,300
,Lake Victoria Wind Farm Pty Ltd atf Lake Victoria Wind Farm unit trust,145.0,1087.5
,Lakeland Wind Farm Pty Ltd,17.0,73.1
,Tetris Energy,1.0,100
,Tetris Energy,1.0,310
, Venn Energy Pty Ltd / Acacia Solar Project Pty Ltd.,82.0,360.8
,Ox2 Holdings Pty Ltd,60.0,80.04
,Canadian Solar (Australia) Pty Ltd,1.0,400
LVES1,Tilt Renewables Australia Pty Ltd,1.0,100
LNGS1,Snowy Hydro Ltd,1.0,156
LNGS2,Snowy Hydro Ltd,1.0,156
,The Trustee for Learmonth BESS Holdings Unit Trust,1.0,268
,Leigh Creek Energy,1.0,45
LEM_WIL,Hydro-Electric Corporation,1.0,30.6
LEM_WIL,Hydro-Electric Corporation,1.0,51
HEPWIND1,Hepburn Community Wind Park Co-operative Limited,2.0,4.1
,Elgin EnergyP/L,84.0,250.32
,Elgin EnergyP/L,72.0,249.84
,MACQGEN,1.0,500
,Acen Australia,1.0,440
LILYSF1,Lilyvale Asset Co Pty Ltd ATF Lilyvale Asset Trust,74.0,118.4
,LIMONDALE BATTERY PTY. LTD,1.0,50
LIMOSF11,Limondale Sun Farm Pty Ltd,100.0,230
LIMOSF21,Limondale Sun Farm Pty Ltd,14.0,28.98
LGAPBS1,Lincoln Gap Wind Farm (Operations) Pty Ltd,1.0,10
LGAPWF1,Lincoln Gap Wind Farm Pty Ltd,35.0,126
LGAPWF2,Lincoln Gap Wind Farm Pty Ltd,24.0,86.4
,Lincoln Gap 3 Wind Farm Pty Ltd,42.0,277.2
,NEMMCO,1.0,100
,Acciona Energy Australia Global,1.0,450
,CEP Energy,1.0,150
,ACEnergy Pty Ltd,1.0,350
, Clean Technology Partners,1.0,279
,Liverpool Range Wind Farm Pty Ltd,185.0,1332
,Better Energy Technology Pty Ltd,1.0,10
,Better Energy Technology Pty Ltd,1.0,10
, Lockyer Energy Management Pty,1.0,750
,Lockyer Energy Management Pty Ltd,1.0,400
,Lockyer Energy Management Pty Ltd,1.0,400
,Lockyer Energy Management Pty Ltd,2.0,87.00 - 117.00
LRSF1,Longreach Asset Company,7.0,15
LONSDALE,Lumo Generation SA Pty Ltd,18.0,20.16
,CS ENERGY,46.0,285.2
, Syncline Energy Pty Ltd,1.0,400
,Equis Energy (Australia) Projects (Ngumi 7) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 7 Asset Trust,1.0,200
,Lower Wonga Solar Farm Pty Ltd,1.0,353
LYA1,AGL Loy Yang Marketing Pty Ltd,1.0,560
LYA2,AGL Loy Yang Marketing Pty Ltd,1.0,530
LYA3,AGL Loy Yang Marketing Pty Ltd,1.0,560
LYA4,AGL Loy Yang Marketing Pty Ltd,1.0,560
LOYYB1,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,1.0,580
LOYYB2,Gippsland Power Pty Ltd ABN 30 077 851 079 / LYB Ventures Australia Pty Ltd ABN 57 055 984 499 / Traralgon Power Pty Ltd ABN 64 056 292 623 / Latrobe Power Pty Ltd ABN 42 055 983 563 / LYB Australia Limited ABN 87 055 563 785,1.0,580
,Alinta Energy Clean Energy Development Pty Ltd,1.0,250
,Firmus Grid P/L,1.0,24
LUCAS2S2,EDL LFG NSW Pty Ltd,4.0,4.6
LUCASHGT,EDL LFG NSW Pty Ltd,11.0,12.65
,LOYYANGA,1.0,200
MACARTH1,Macarthur Wind Farm Pty Ltd and Meridian Wind Macarthur Pty Ltd,140.0,420
MCINTYR1,Macintyre Windfarm Pty Ltd and Arc Energy Macintyre Pty Ltd,162.0,923.4
,BSR EPC P/L,1.0,800
,BSR EPC P/L,1.0,800
MACKNTSH,Hydro-Electric Corporation,1.0,79.9
,AGL Energy Limited,1.0,500
,Terrain Solar,1.0,48.89
,Terrain Solar,1.0,76.82
,Edify Energy Pty Ltd,1.0,150
,Edify Energy Pty Ltd,1.0,150
,Mallee Wind PTY LTD,1.0,100
,Mallee Wind PTY LTD,76.0,380.00 - 501.60
,Green Switch Energy Pty Ltd,1.0,500
,Tetris Energy,1.0,20
,Tetris Energy,1.0,250
,Samsung C&T Renewable Energy Australia Pty Ltd.,104.0,104
MANSLR1,Manildra Prop Pty Ltd as trustee for the Manildra Asset Trust,20.0,50
MAPS2PV1,South Australian Water Corporation,6.0,16.5
MAPS3PV1,South Australian Water Corporation,6.0,16.5
,Mannum Stage 2 Battery SubCo Pty Ltd as Trustee for The Mannum Stage 2 Battery Unit Trust,1.0,100
MANNSF2,Mannum Stage 2 SubCo Pty Ltd as trustee for the Mannum Stage 2 Unit Trust,11.0,29.99
, Biscon Energy Australia Pty Ltd,1.0,350
, Biscon Energy Australia Pty Ltd,1.0,Zero Capacity Or None Specified
,EEW ECO ENERGY WORLD PTY LTD,1.0,160
,BE PRO MC1 PTY LTD,1.0,400
,Monash Energy Pty Ltd,1.0,375
,Monash Energy Pty Ltd,1.0,125
,Cubico Sustainable Investments Australia Pty Ltd,1.0,950
MAROOWF1,Myamba Developments Pty Ltd,2.0,6.9
,EnergyAustralia Marulan Pty Ltd,1.0,800
,Marulan Solar Farm Pty Ltd,56.0,190.40 - 207.20
MARYRSF1,Maryrorough Solar Pty Ltd,1.0,34.5
,Maryvale Solar Farm Pty Ltd ,61.0,172.02
,Maryvale Solar Farm Pty Ltd ,61.0,172.02
,FRV Services Australia Pty Ltd,18.0,72.00 - 81.00
,FRV Services Australia Pty Ltd,14.0,48.02 - 63.00
,X-Elio Holbrook Trust,1.0,300
,Enerparc Australia Pty Ltd,28.0,123.2
, Clean Technologies Partners,1.0,180
MEADOWBK,Hydro-Electric Corporation,1.0,40
,Virya Energy Pty Ltd,1.0,250
,Virya Energy Pty Ltd,1.0,1500
,Lumea,1.0,Zero Capacity Or None Specified
,Landfill Operations Pty Ltd,1.0,8.88
,Elgin Energy Pty Ltd,1.0,250
,MREH Pty Ltd as trustee for MREH Asset Trust,1.0,600
,MREH Pty Ltd as trustee for MREH Asset Trust,1.0,600
, Emergent Technologies,1.0,350
, Acciona Energy Global Australia,60.0,342
,Merino Solar Farm Pty Ltd as trustee for Merino Solar Farm Trust,96.0,309.12
,Merino Solar Farm Pty Ltd as trustee for Merino Solar Farm Trust,100.0,338
,Valent Energy,1.0,1000
METZSF1,Metz ProjectCo Pty Ltd as trustee for Metz ProjectCo Trust ,54.0,135
,APA Group,1.0,88
,Middlebrook Solar Farm Pty Ltd as trustee for MSF Project Trust,130.0,387.14
,Middlebrook Solar Farm Pty Ltd as trustee for MSF Project Trust,104.0,354.02
MIDDLSF1,Capricorn SF No1 Pty Ltd,1.0,26
,TBA,1.0,6
,Ceramet,1.0,9.6
,TBSOL,1.0,500
,Vena Energy,1.0,500
,Millmerran Power Partners,1.0,200
MPP_1,Millmerran Power Partners,1.0,426
MPP_2,Millmerran Power Partners,1.0,426
,Millmerran Power Partners,1.0,250
MINTARO,Synergen Power Pty Ltd,1.0,90
,Private Energy Partners Pty Ltd,1.0,100
,Private Energy Partners Pty Ltd,1.0,200
,Private Energy Partners Pty Ltd,1.0,100
,Private Energy Partners Pty Ltd,1.0,200
,Squadron Energy Services Pty Ltd,1.0,57
,Moah Creek Solar Development Co Pty Ltd,1.0,350
,Moah Creek Wind Farm Project Co Pty Ltd,60.0,360
,Moama Propertyco Pty Ltd as trustee for the Moama Property Trust,2.0,36.01
,Moama Propertyco Pty Ltd as trustee for the Moama Property Trust,6.0,36.01
,Mobilong ProjectCo Pty Ltd,32.0,180.16
MOKOSF1,EE Solar 6 Pty Ltd as trustee for EE Solar 6 Trust,1.0,46
,Potentia Energy Group P/L,1.0,250
,StorEnergy 3 Pty Ltd,48.0,150.24
MOLNGSF1,Molong Operations co Pty Ltd ATF Molong Operations Trust,22.0,36.08
, 1265 Warnecke Rd Pty Ltd,1.0,100
,Eku Energy Projects (Australia) Pty Ltd as trustee for the Eku Energy Projects (Australia) Trust,1.0,300
, Venn Energy Pty Ltd / Moonah Solar Project Pty Ltd,42.0,176.4
,Brookfield,1.0,400
,Brookfield,1.0,400
MOORBESS,Neoen Australia Pty Ltd,1.0,300
MOORAWF1,Moorabool Wind Farm Interface Company Pty Ltd,104.0,312
,Energy Bay Fund Management,1.0,200
,Energy Bay Fund Management,60.0,120
MORANBAH,SUSTAINABLE ENERGY INFRASTRUCTURE ,8.0,12.56
MBAHNTH,EDL Projects Australia Pty Ltd,21.0,63.84
,AE BESS 2 PTY LTD AS TRUSTEE FOR AE BESS 2 UNIT TRUST ,1.0,120
MOREESF1,Moree Solar Farm Pty Ltd,56.0,56
,Moreton Hill Wind Farm Nominees Pty Ltd,57.0,387.6
,NEMMCO,1.0,30
,Origin Energy,1.0,40
,Green Gold Energy Pty Ltd,1.0,108
MWPS1PV1,South Australian Water Corporation,2.0,5.5
MWPS2PV1,South Australian Water Corporation,2.0,5.5
MWPS3PV1,South Australian Water Corporation,3.0,7.5
MWPS4PV1,South Australian Water Corporation,2.0,5.5
,Mornington BESS Project Pty Ltd as Trustee of Mornington BESS Project Trust,1.0,240
MORTLK11,Origin Energy Power Limited,1.0,292
MORTLK12,Origin Energy Power Limited,1.0,292
,Origin Energy Power Limited,4.0,200
,BORAL,1.0,300
,brightnightpower_NR,72.0,316.08
,brightnightpower_NR,76.0,333.64
MRTLSWF1,Mortlake South Wind Farm Pty Ltd,35.0,157.5
MLWF1,Mortons Lane Windfarm Pty Ltd,13.0,19.5
,Photon Energy Engineering Australia Pty Ltd.,10.0,300
,Photon Energy Engineering Australia Pty Ltd.,300.0,600
,ACE Power Development 2 Pty Ltd,218.0,784.8
,firmpower_NR,1.0,377.54
,firmpower_NR,1.0,377.54
MEWF1,Ratch Australia,53.0,180.52
,Woolnorth Wind Farm Holding,85.0,340.00 - 459.00
,Woolnorth Wing Farm Holding Pty Ltd,1.0,750
,Mount Hopeful Wind Farm as trustee for Mount Hopeful Wind Farm Trust,1.0,370
,Tetris Energy,1.0,100
,Tetris Energy,1.0,200
,Mainstream,1.0,600
MOUSF1,Moura Solar Farm SPV Pty Ltd as the Trustee for Moura Solar Farm Unit Trust,36.0,99
,Tetris Energy,1.0,20
,Tetris Energy,1.0,115
,Darwalla Milling Co Pty Ltd,1.0,7.6
,Iberdrola Australia Development Pty Ltd,1.0,200
, Mount Fox BESS Pty Ltd,1.0,300
, Mount Fox Energy Park Pty Ltd,47.0,291.4
MTGELWF1,ACCIONA Energy,44.0,138.6
,Foresight Australia,1.0,80
MERCER01,Mt Mercer Windfarm Pty Ltd,64.0,131.2
MTMILLAR,MT MILLAR WIND FARM PTY LTD,35.0,72.28
MP1,EnergyAustralia NSW Pty Ltd,1.0,730
MP2,EnergyAustralia NSW Pty Ltd,1.0,660
,Energy Australia Development Pty Ltd,51.0,249.9
, Mount Rawdon Pty Ltd,6.0,2040
MSTUART1,Origin Energy Mt Stuart,1.0,146
MSTUART2,Origin Energy Mt Stuart,1.0,146
MSTUART3,Origin Energy Mt Stuart,1.0,131.5
,Woodside Energy Technologies Pty Ltd,1.0,750
,LGI,1.0,12
,LGIGEN,6.0,3.21 - 6.39
,Mullion Creek Wind Farm P/L,33.0,250.14
,Mulwala Solar Farm Pty Ltd,19.0,25
,Munna Creek Solar Farm Investments Pty Ltd as trustee for the Munna Creek Solar Farm Trust,56.0,154
MUWAWF1,Murra Warra Project Co Pty Ltd,61.0,225.7
MUWAWF2,Murra Warra II Project Co Pty Ltd as Trustee for the Murra Warra II Project Trust,38.0,209
MURRAY,Snowy Hydro Ltd,10.0,950
MURRAY,Snowy Hydro Ltd,4.0,600
MBPS2PV1,South Australian Water Corporation,5.0,13.75
,FIrm Power P/L,1.0,152
,Edify Energy Pty Ltd,1.0,200
MUSSELR1,Musselroe Wind Farm Pty Ltd,56.0,168
,firmpower_NR,1.0,196.8
,Penso Power Australia P/L,1.0,400
,AGL Energy Limited,1.0,250.00 - 400.00
,Ox2,1.0,135
,ARK Energy Corporation Pty Ltd,1.0,275
, Narrabri Genesis Hold Pty Ltd ATF Narrabri Genesis Hold Trust,1.0,3.6
, Narrabri Genesis Hold Pty Ltd ATF Narrabri Genesis Hold Trust,1.0,4.6
,Canadian Solar,1.0,50
,Potentia Energy Group P/L,114.0,400.14
,Potentia Energy Group P/L,1.0,125
NASF1,Dubbo Solar Hub Pty Ltd,4.0,9.2
,BayWA r.e Projects Australia Pty Ltd,1.0,500
,Iberdrola Australia Development Pty Ltd.,1.0,280
NEVERSF1,Nevertire Solar Pty Ltd as Trustee for the Nevertire Solar Trust,48.0,104.64
NEWENSF1,ACEN AUSTRALIA,1.0,200
NEWENSF2,ACEN AUSTRALIA,1.0,200
,ACEN AUSTRALIA,1.0,320
,ACEN RENEWABLES,1.0,100
,ACEN RENEWABLES,1.0,100
NPS,EnergyAustralia Ecogen Pty Ltd,1.0,500
,Zen Energy Future Pty Ltd,1.0,180
,Tilt Renewables Australia Pty Ltd,1.0,1015
,Westwind Development Pty Ltd,1.0,120
,X-Elio Australia Pty Ltd,1.0,700
,X-Elio Australia Pty Ltd,1.0,700
,ACEN North East Tasmania Pty Ltd,175.0,1260
,Zen Energy,1.0,210
,TasRex P/L,1.0,60
,Connorville Estates Pty Ltd,69.0,289.8
,BORAL,1.0,8
,NPSF Renewables Pty Ltd,1.0,210
,OceanEx Energy,1.0,2000
,Edify Energy Pty Ltd,1.0,750
,Lyon Solar,1.0,250
,Lyon Solar,1.0,80
,AGL Energy Limited,1.0,500
NUMURSF1,Numurkah Solar Farm Pty Ltd,56.0,101.08
,Acciona Energy,53.0,302.1
NYNGAN1,PARF Company 6 Pty Limited,77.0,102.03
OAKEY2SF,RE Oakey Pty Ltd,26.0,55.64
OAKEY1,Oakey Power Holdings Pty Ltd,1.0,173
OAKEY2,Oakey Power Holdings Pty Ltd,1.0,173
OAKEY1SF,Oakey1 Asset Co Pty Ltd,1.0,25
OAKLAND1,Oaklands Hill Wind farm pty ltd,32.0,67.2
OAKYCREK,EDL OCI Pty Ltd,2.0,6.09
OAKYCREK,EDL OCI Pty Ltd,14.0,14.91
OAKY2,EDL OCI PTY LTD,5.0,15
ORANA,Wellington Battery ProjectCo Pty Ltd,448.0,414.85
,Overland Sun Farm Holdings Pty Ltd,1.0,80
,orsted_nr,192.0,2819.9
,orsted_nr,192.0,2819.9
OSB-AG,Osborne Cogeneration Pty Ltd,1.0,62
OSB-AG,Osborne Cogeneration Pty Ltd,1.0,118
,Osboourne Cogeneration P/L,1.0,120.00 - 300.00
,Oven Mountain Pumped Storage,1.0,900
,Oxley Solar Development Pty Ltd,1.0,300
,Pacific Green,1.0,250
,Pacific Green,1.0,250
,Pacific Green Energy Park Cascade Trust,1.0,1000
,Pacific Green Energy Park Portland West Trust,1.0,1000
,Paling Yards Development Pty Ltd,47.0,286.7
,Tilt Renewables Australia Pty Ltd,40.0,240.00 - 274.00
,Palmerston ProjectCo Pty Ltd,23.0,100.05
PALOONA,Hydro-Electric Corporation,1.0,28
, PANORAMA BESS SUBCO PTY LTD as trustee for the PANORAMA BESS UNIT TRUST,1.0,100
,Gould Creek BESS Project Pty Ltd as trustee of Gould_x000B_Creek BESS_x000B_Project Trust,1.0,225
PARSF1,Parkes Solar Farm Pty Ltd,22.0,49.5
,Potentia Energy Group P/L,175.0,449.75
,Potentia Energy Group P/L,1.0,150
PPCCGT,Pelican Point Power Limited,1.0,171
PPCCGT,Pelican Point Power Limited,2.0,358
,Engie,1.0,200
,BESS PENFIELD PTY LTD,1.0,20
,Edify Energy Pty Ltd,1.0,80
,Edify Energy Pty Ltd,1.0,80
